"","PN38708PM"
"","Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - IPC Subyacente"
Ene03,59.84246017754
Feb03,59.9191694508237
Mar03,60.0135509055192
Abr03,60.0581788981363
May03,60.0649246835955
Jun03,60.0848223592697
Jul03,60.0914051370351
Ago03,60.1501845400974
Sep03,60.1536067255727
Oct03,60.129522582841
Nov03,60.2051308221211
Dic03,60.2817981233638
Ene04,60.2481404509282
Feb04,60.3922333956612
Mar04,60.573403270023
Abr04,60.6007622080398
May04,60.7040114764954
Jun04,60.7953348287682
Jul04,60.7933582384694
Ago04,60.8586977739169
Sep04,60.8719943212591
Oct04,60.9389416787017
Nov04,61.0112604812871
Dic04,61.0207568995669
Ene05,61.0832298422295
Feb05,61.0825377916015
Mar05,61.2987845790381
Abr05,61.3365418461674
May05,61.4333586553297
Jun05,61.4618254600078
Jul05,61.4987110752177
Ago05,61.5061489113049
Sep05,61.4853737271474
Oct05,61.547731490721
Nov05,61.6268312181486
Dic05,61.771715775095
Ene06,61.8536412945794
Feb06,61.9120468536494
Mar06,62.1630172081419
Abr06,62.2102084235366
May06,62.2424673533065
Jun06,62.2410305429757
Jul06,62.2701435218651
Ago06,62.3518679659906
Sep06,62.4035638550786
Oct06,62.4399721603349
Nov06,62.5220284764118
Dic06,62.6151166065908
Ene07,62.6756285764583
Feb07,62.8372619299165
Mar07,63.0473358990571
Abr07,63.1278616997818
May07,63.1822808910592
Jun07,63.287757605965
Jul07,63.4303659117624
Ago07,63.6253143286711
Sep07,63.7447530917911
Oct07,63.9651560873719
Nov07,64.3431523834497
Dic07,64.5621312579215
Ene08,64.7251945890526
Feb08,64.9566176856078
Mar08,65.3117577651741
Abr08,65.5742362676283
May08,65.8791036031216
Jun08,66.2385302969872
Jul08,66.5015189061526
Ago08,66.8691410802485
Sep08,67.1046891499407
Oct08,67.4821489564633
Nov08,67.8825394144718
Dic08,68.1536495159442
Ene09,68.3903806115338
Feb09,68.7047599828106
Mar09,69.0247606792877
Abr09,69.1304052823573
May09,69.2474618217576
Jun09,69.3549844550129
Jul09,69.4122563990387
Ago09,69.4942349057845
Sep09,69.6082961319592
Oct09,69.5943076247658
Nov09,69.7036970709349
Dic09,69.7520612643156
Ene10,69.8998374002861
Feb10,70.0183841921873
Mar10,70.2482057521336
Abr10,70.4073572040087
May10,70.504234594747
Jun10,70.5971089533456
Jul10,70.6516637272676
Ago10,70.8189951026845
Sep10,70.9163253386348
Oct10,71.0383314229022
Nov10,71.0706745820922
Dic10,71.2306529594217
Ene11,71.363027736877
Feb11,71.5142000198283
Mar11,71.9400110237659
Abr11,72.2280078780509
May11,72.4769150012888
Jun11,72.7111590328476
Jul11,72.8953473925147
Ago11,73.0753835148556
Sep11,73.3050077354671
Oct11,73.5091203239164
Nov11,73.7227203557503
Dic11,73.8285892267102
Ene12,73.9911208484441
