"año","tasa_promedio","tasa_min","tasa_max","ipc_dic","ipc_dic_anterior","inflacion_anual"
2004,2.66666666666667,2.5,3,61.0207568995669,60.2817981233638,1.22584063383586
2005,3.02083333333333,3,3.25,61.771715775095,61.0207568995669,1.23066135800984
2006,4.29166666666667,3.5,4.5,62.6151166065908,61.771715775095,1.36535114965326
2007,4.70833333333333,4.5,5,64.5621312579215,62.6151166065908,3.10949616777645
2008,5.89583333333333,5.25,6.5,68.1536495159442,64.5621312579215,5.56288676976109
2009,3.25,1.25,6.5,69.7520612643156,68.1536495159442,2.34530617175162
2010,2.0625,1.25,3,71.2306529594217,69.7520612643156,2.11978207999215
2011,4.04166666666667,3.25,4.25,73.8285892267102,71.2306529594217,3.64721669583525
2012,4.25,4.25,4.25,76.239948250433,73.8285892267102,3.26615888096964
2013,4.20833333333333,4,4.25,79.091941034264,76.239948250433,3.7408115420839
2014,3.79166666666667,3.5,4,81.7000299780756,79.091941034264,3.29754069720167
2015,3.35416666666667,3.25,3.75,85.073438856848,81.7000299780756,4.12901792040672
2016,4.22916666666667,4,4.25,88.2424215814788,85.073438856848,3.72499662316836
2017,3.83333333333333,3.25,4.25,90.3019086690335,88.2424215814788,2.33389683855523
2018,2.79166666666667,2.75,3,92.6224520028581,90.3019086690335,2.56976111361018
2019,2.60416666666667,2.25,2.75,94.6188656395427,92.6224520028581,2.15543164050873
2020,0.666666666666667,0.25,2.25,96.312369694404,94.6188656395427,1.78981648470911
2021,0.770833333333333,0.25,2.5,100,96.312369694404,3.8288231483627
2022,5.54166666666667,3,7.5,106.532412295492,100,6.532412295492
2023,7.54166666666667,6.75,7.75,111.206320564089,106.532412295492,4.38731102383456
2024,5.6875,5,6.5,114.069041259122,111.206320564089,2.57424279529435
2025,4.5,4.25,4.75,116.492958303908,114.069041259122,2.124956095037
